SampleID,Age,Sex,Collection_Date,HA_Screening,Screening_Ct,IAV_Isolation
1,A,F,2020-08-25,0,.,0
2,A,F,2020-08-26,0,.,0
3,J,M,2020-08-27,0,.,0
4,A,F,2020-08-28,0,.,0
5,J,F,2020-08-29,1,n/d,0
6,J,M,2020-08-30,0,.,0
7,A,F,2020-08-31,0,.,0
8,J,F,2020-09-01,0,.,0
9,J,F,2020-09-02,0,.,0
10,A,F,2020-09-03,0,.,0
11,J,M,2020-09-04,0,.,0
12,J,M,2020-09-05,1,21.9,1
13,A,F,2020-09-06,0,.,0
14,J,M,2020-09-07,1,23.93,1
15,J,M,2020-09-08,0,.,0
16,J,M,2020-09-09,0,.,0
17,A,F,2020-09-10,0,.,0
18,J,M,2020-09-11,1,n/d,1
19,J,M,2020-09-12,0,.,0
20,J,M,2020-09-13,0,.,0
21,A,F,2020-09-14,0,.,0
22,J,M,2020-09-15,0,.,0
23,A,F,2020-09-16,1,n/d,1
24,J,M,2020-09-17,0,.,0
25,A,F,2020-09-18,0,.,0
26,J,M,2020-09-19,0,.,0
27,A,F,2020-09-20,0,.,0
28,J,F,2020-09-21,0,.,0
29,J,M,2020-09-22,0,.,0
30,J,F,2020-09-23,1,23.08,1
31,A,F,2020-09-24,0,.,0
32,A,F,2020-09-25,0,.,0
33,A,F,2020-09-26,0,.,0
34,J,F,2020-09-27,0,.,0
35,J,F,2020-09-28,0,.,0
36,J,F,2020-09-29,1,23.46,1
37,A,F,2020-09-30,0,.,0
38,J,M,2020-10-01,0,.,0
39,J,M,2020-10-02,1,n/d,0
40,A,F,2020-10-03,0,.,0
41,J,M,2020-10-04,1,23.85,1
42,J,M,2020-10-05,0,.,0
43,A,F,2020-10-06,0,.,0
44,A,F,2020-10-07,0,.,0
45,A,F,2020-10-08,0,.,0
46,J,M,2020-10-09,1,23.54,1
47,J,M,2020-10-10,0,.,0
48,J,M,2020-10-11,1,n/d,0
49,A,F,2020-10-12,0,.,0
50,A,F,2020-10-13,0,.,0
51,J,M,2020-10-14,0,.,0
52,J,M,2020-10-15,0,.,0
53,J,F,2020-10-16,0,.,0
54,J,M,2020-10-17,1,n/d,0
55,J,M,2020-10-18,0,.,0
56,J,M,2020-10-19,0,.,0
57,J,F,2020-10-20,0,.,0
58,J,M,2020-10-21,0,.,0
59,J,M,2020-10-22,0,.,0
60,J,M,2020-10-23,0,.,0
61,A,F,2020-10-24,0,.,0
62,A,F,2020-10-25,0,.,0
63,A,F,2020-10-26,0,.,0
64,A,F,2020-10-27,0,.,0
65,J,M,2020-10-28,0,.,0
66,J,M,2020-10-29,1,n/d,0
67,J,F,2020-10-30,1,n/d,0
68,J,F,2020-10-31,0,.,0
69,A,F,2020-11-01,0,.,0
70,A,F,2020-11-02,0,.,0
71,A,F,2020-11-03,0,.,0
72,J,F,2020-11-04,0,.,0
73,J,M,2020-11-05,1,n/d,0
74,A,F,2020-11-06,0,.,0
75,A,F,2020-11-07,0,.,0
76,J,M,2020-11-08,0,.,0
77,J,F,2020-11-09,0,.,0
78,A,F,2020-11-10,0,.,0
79,J,M,2020-11-11,0,.,0
80,J,F,2020-11-12,1,n/d,0
81,J,M,2020-11-13,0,.,0
82,J,F,2020-11-14,0,.,0
83,J,M,2020-11-15,0,.,0
84,J,M,2020-11-16,1,n/d,0
85,A,F,2020-11-17,0,.,0
86,J,M,2020-11-18,1,23.84,1
87,J,M,2020-11-19,0,.,0
88,J,F,2020-11-20,1,n/d,0
89,J,M,2020-11-21,0,.,0
90,A,F,2020-11-22,0,.,0
91,J,M,2020-11-23,0,.,0
92,A,F,2020-11-24,0,.,0
93,A,F,2020-11-25,0,.,0
94,NR,NR,2020-11-26,0,.,0
95,J,F,2020-11-27,0,.,0
96,A,F,2020-11-28,0,.,0
97,J,F,2020-11-29,0,.,0
98,J,F,2020-11-30,0,.,0
99,J,F,2020-12-01,1,20.8,1
100,A,F,2020-12-02,0,.,0
101,J,M,2020-12-03,0,.,0
102,J,F,2020-12-04,0,.,0
103,J,F,2020-12-05,1,22.59,1
104,J,F,2020-12-06,0,.,0
105,A,F,2020-12-07,0,.,0
106,J,F,2020-12-08,0,.,0
107,J,M,2020-12-09,1,22.53,1
108,J,F,2020-12-10,0,.,0
109,J,F,2020-12-11,0,.,0
110,J,F,2020-12-12,1,23.09,1
111,J,M,2020-12-13,0,.,0
112,J,F,2020-12-14,0,.,0
113,J,F,2020-12-15,0,.,0
114,J,F,2020-12-16,1,20.14,1
115,J,M,2020-12-17,1,22.83,1
116,J,F,2020-12-18,0,.,0
117,J,M,2020-12-19,1,23.18,1
118,J,M,2020-12-20,1,n/d,0
119,J,F,2020-12-21,0,.,0
120,J,M,2020-12-22,0,.,0
121,J,M,2020-12-23,0,.,0
122,A,F,2020-12-24,0,.,0
123,J,F,2020-12-25,0,.,0
124,A,F,2020-12-26,0,.,0
125,J,F,2020-12-27,1,23.72,1
126,J,F,2020-12-28,1,n/d,0
127,J,F,2020-12-29,0,.,0
128,J,M,2020-12-30,0,.,0
129,J,M,2020-12-31,1,23.57,1
130,A,F,2021-01-01,0,.,0
131,J,M,2021-01-02,0,.,0
132,J,F,2021-01-03,1,n/d,0
133,J,M,2021-01-04,0,.,0
134,J,M,2021-01-05,0,.,0
135,J,F,2021-01-06,0,.,0
136,J,F,2021-01-07,0,.,0
137,J,F,2021-01-08,0,.,0
138,J,F,2021-01-09,0,.,0
139,J,F,2021-01-10,0,.,0
140,J,F,2021-01-11,0,.,0
141,J,F,2021-01-12,0,.,0
142,A,F,2021-01-13,1,19.79,1
143,J,F,2021-01-14,1,21.49,1
144,A,F,2021-01-15,0,.,0
145,J,F,2021-01-16,1,n/d,0
146,J,F,2021-01-17,1,n/d,0
147,J,F,2021-01-18,0,.,0
148,J,F,2021-01-19,1,23.77,1
149,J,M,2021-01-20,1,n/d,0
150,J,F,2021-01-21,1,n/d,0
151,J,F,2021-01-22,1,27.09,1
152,J,F,2021-01-23,0,.,0
153,A,F,2021-01-24,0,.,0
154,J,F,2021-01-25,1,22.64,1
155,A,M,2021-01-26,0,.,0
156,J,M,2021-01-27,1,21.32,1
157,A,M,2021-01-28,0,.,0
158,A,M,2021-01-29,0,.,0
159,A,M,2021-01-30,0,.,0
160,A,M,2021-01-31,0,.,0
161,A,M,2021-02-01,0,.,0
162,A,M,2021-02-02,0,.,0
163,A,M,2021-02-03,0,.,0
164,A,M,2021-02-04,0,.,0
165,A,M,2021-02-05,0,.,0
166,A,M,2021-02-06,0,.,0
167,J,M,2021-02-07,0,.,0
168,A,F,2021-02-08,0,.,0
169,J,F,2021-02-09,0,.,0
170,A,F,2021-02-10,0,.,0
171,A,M,2021-02-11,0,.,0
172,A,F,2021-02-12,0,.,0
173,A,F,2021-02-13,0,.,0
174,A,F,2021-02-14,0,.,0
175,A,M,2021-02-15,0,.,0
176,J,M,2021-02-16,0,.,0
177,A,M,2021-02-17,0,.,0
178,A,M,2021-02-18,0,.,0
179,J,M,2021-02-19,0,.,0
180,A,F,2021-02-20,0,.,0
181,J,M,2021-02-21,1,n/d,0
182,J,F,2021-02-22,0,.,0
183,J,F,2021-02-23,0,.,0
184,J,F,2021-02-24,0,.,0
185,J,M,2021-02-25,0,.,0
186,A,M,2021-02-26,0,.,0
187,J,F,2021-02-27,0,.,0
188,J,M,2021-02-28,0,.,0
189,J,M,2021-03-01,0,.,0
190,A,F,2021-03-02,0,.,0
191,J,F,2021-03-03,0,.,0
192,J,M,2021-03-04,0,.,0
193,A,M,2021-03-05,0,.,0
194,J,F,2021-03-06,0,.,0
195,A,M,2021-03-07,0,.,0
196,J,F,2021-03-08,1,n/d,0
197,J,F,2021-03-09,1,21.58,1
198,A,F,2021-03-10,0,.,0
199,J,M,2021-03-11,0,.,0
200,J,M,2021-03-12,1,22.56,1
201,J,M,2021-03-13,1,23.07,1
202,J,M,2021-03-14,1,26.63,1
203,J,M,2021-03-15,1,24.69,1
204,J,F,2021-03-16,1,27.22,1
205,J,F,2021-03-17,1,25.26,1
206,J,F,2021-03-18,0,.,0
207,J,M,2021-03-19,1,23.13,1
208,J,M,2021-03-20,1,23.65,1
209,J,M,2021-03-21,1,24.3,1
210,J,M,2021-03-22,1,24.94,1
211,J,M,2021-03-23,1,25.99,1
212,J,M,2021-03-24,0,.,0
213,J,F,2021-03-25,1,22.67,1
214,J,M,2021-03-26,1,23.54,1
215,J,M,2021-03-27,1,25.48,1
216,J,M,2021-03-28,0,.,0
217,J,M,2021-03-29,1,26.87,1
218,J,M,2021-03-30,1,24.34,1
219,J,M,2021-03-31,1,25.17,1
220,J,F,2021-04-01,1,25.85,1
221,J,M,2021-04-02,1,24.98,1
222,J,M,2021-04-03,1,25.33,1
223,J,M,2021-04-04,1,24.67,1
224,J,M,2021-04-05,0,.,0
225,J,M,2021-04-06,1,26.97,1
226,J,M,2021-04-07,0,.,0
227,J,F,2021-04-08,1,30.78,1
228,J,F,2021-04-09,1,25.2,1
229,J,F,2021-04-10,1,25.75,1
230,J,F,2021-04-11,1,24.57,1
231,J,M,2021-04-12,1,25.33,1
232,J,M,2021-04-13,1,25.4,1
233,J,M,2021-04-14,1,25.85,1
234,J,M,2021-04-15,0,.,0
235,J,M,2021-04-16,1,24.94,1
236,J,M,2021-04-17,0,.,0
237,J,F,2021-04-18,1,24.92,1
238,J,F,2021-04-19,0,.,0
239,J,F,2021-04-20,1,24.7,1
240,J,M,2021-04-21,1,26.69,1
241,J,F,2021-04-22,0,.,0
242,J,F,2021-04-23,1,25.74,1
243,J,F,2021-04-24,1,27.06,1
244,J,F,2021-04-25,1,22.6,1
245,J,M,2021-04-26,1,24.91,1
246,J,M,2021-04-27,1,26.59,1
247,A,F,2021-04-28,0,.,0
248,J,M,2021-04-29,1,n/d,0
249,J,M,2021-04-30,0,.,0
250,J,M,2021-05-01,0,.,0
251,J,M,2021-05-02,0,.,0
252,A,F,2021-05-03,1,26.15,1
253,J,F,2021-05-04,1,26.92,1
254,J,M,2021-05-05,1,n/d,0
255,J,F,2021-05-06,1,24.82,1
256,J,M,2021-05-07,0,.,0
257,J,M,2021-05-08,0,.,0
258,J,F,2021-05-09,0,.,0
259,J,M,2021-05-10,0,.,0
260,J,M,2021-05-11,0,.,0
261,J,F,2021-05-12,0,.,0
262,J,M,2021-05-13,0,.,0
263,J,M,2021-05-14,0,.,0
264,J,M,2021-05-15,1,27.83,1
265,J,M,2021-05-16,0,.,0
266,J,M,2021-05-17,0,.,0
