Sample_Site,Medium_Code,Collection_Date,NOA_Nitrate_Nitrite,IC_Nitrate,NOA_Nitrite,IC_Ammonium,Skalar_TotalDN,pH,SC,Temp,DO,FU_DOC,FU_Alkalinity,FU_F,FU_Cl,FU_SO4,FU_Br,FA_Al,FA_AsT,FA_B,FA_Ba,FA_Be,FA_Ca,FA_Cd,FA_Co,FA_Cr,FA_Cu,FA_Fe,FA_K,FA_Li,FA_Mg,FA_Mn,FA_Mo,FA_Na,FA_Ni,FA_P,FA_Pb,FA_Rb,FA_Sb,FA_Se,FA_SiO2,FA_Sr,FA_U,FA_V,FA_W,FA_Zn,RA_Al,RA_AsT,RA_B,RA_ba,Ra_Be,RA_Ca,RA_Cd,RA_Co,RA_Cr,RA_Cu,RA_Fe,RA_K,RA_Li,RA_Mg,RA_Mn,RA_Mo,RA_Na,RA_Ni,RA_P,RA_Pb,RA_Rb,RA_Sb,RA_Se,RA_SiO2,RA_Sr,RA_U,RA_V,RA_W
Agassiz NWR- Farmes Pool- Waterbody A,WS,2021-04-08,<0.007,<0.014,<0.001,<0.035,1.42,7.39,576,7.63,7.06,22.4,279,0.11,5.27,79.9,<0.01,0.008,<3,0.014,0.027,<0.0005,67.6,<0.002,<0.002,<0.001,<0.001,0.014,4.08,0.0115,22.5,0.089,<0.004,3.6,<0.003,<0.04,<0.4,0.004,<0.03,<0.03,10.5,0.142,<0.004,<0.001,<0.006,0.006,0.01,<3,0.013,0.0367,<0.0005,81.6,<0.002,<0.002,<0.001,<0.001,0.064,4.84,0.014,27.1,0.238,<0.004,4.29,<0.003,<0.04,<0.4,0.005,<0.03,<0.03,12,0.171,0.004,<0.001,<0.006
Agassiz NWR- Farmes Pool- Waterbody A,WS,2020-08-27,<0.007,<0.014,<0.001,<0.035,1,7.42,406.3,16.5,n/a,17.8,180.8,0.09,2.38,58.3,<0.01,0.005,<3,0.019,0.027,<0.0005,56.7,<0.002,<0.002,<0.001,<0.001,0.0166,3.62,0.0105,17.3,0.265,<0.003,2.43,<0.004,<0.03,<0.4,0.005,<0.03,<0.03,8.9,0.118,<0.004,<0.001,<0.007,0.0059,0.185,<3,0.019,0.03,<0.0005,56.2,<0.002,<0.002,<0.001,<0.001,0.291,3.64,0.0105,18,0.38,<0.003,2.4,<0.004,0.03,<0.4,0.006,<0.03,<0.03,9.7,0.118,<0.004,<0.001,<0.007
Agassiz NWR- Farmes Pool- Waterbody A,OAQ,2020-08-27,<0.007,<0.014,<0.001,<0.035,<0.05,6.08,1,16.3,n/a,1.1,2.3,<0.05,<0.05,<0.1,<0.01,<0.003,<3,<0.008,<0.0005,<0.0005,0.05,<0.002,<0.002,<0.001,<0.001,<0.001,<0.004,<0.0005,0.028,<0.001,<0.003,<0.09,<0.004,<0.03,<0.4,<0.001,<0.03,<0.03,<0.08,<0.0005,<0.004,<0.001,<0.007,<0.001,<0.003,<3,<0.008,0.001,<0.0005,0.01,<0.002,<0.002,<0.001,<0.001,<0.001,<0.004,<0.0005,<0.003,<0.001,<0.003,<0.09,<0.004,<0.03,<0.4,<0.001,<0.03,<0.03,<0.08,<0.0005,<0.004,<0.001,<0.007
Agassiz NWR- Farmes Pool- Waterbody A,WS,2020-10-26,0.087,0.075,0.003,0.11,1.54,7.72,608,2.99,9.38,24.4,260,0.26,4.58,104,<0.01,0.007,<3,0.015,0.0406,<0.0005,83.3,<0.002,<0.003,0.0013,<0.001,0.0341,3.31,0.0136,27.8,0.0911,<0.004,4.06,<0.003,<0.05,<0.4,0.004,<0.04,<0.05,9.43,0.187,0.006,<0.001,<0.01,0.0087,0.017,<3,0.014,0.0399,<0.0005,84,<0.002,<0.003,<0.001,<0.001,0.098,3.24,0.0137,27.9,0.141,<0.004,4.27,<0.003,<0.05,<0.4,0.004,<0.04,<0.05,10.3,0.186,0.005,<0.001,<0.01
Agassiz NWR- Farmes Pool- Waterbody A,WS,2021-06-25,0.013,<0.014,<0.001,0.064,2.18,8.29,624,22.63,11.38,16.8,261,0.14,8.25,122,<0.01,0.01,<3,0.021,0.04,<0.0005,83.8,<0.002,<0.004,<0.002,<0.002,0.021,7.67,0.0215,38.4,0.135,<0.005,6.4,<0.004,<0.03,<0.4,0.006,<0.04,<0.05,6,0.217,<0.02,<0.003,<0.01,0.009,0.134,<3,0.022,0.038,<0.0005,84.6,<0.002,<0.004,<0.002,<0.002,0.275,7.48,0.0224,39.4,0.14,0.006,6.7,<0.004,<0.03,0.5,0.006,<0.04,<0.05,5.8,0.223,<0.02,<0.003,<0.01
Agassiz NWR- Tamarack Pool- Waterbody B,WS,2021-04-08,<0.007,<0.014,<0.001,<0.035,1.02,7.87,542,6.27,10.31,16.7,273,0.11,7.11,67.2,<0.01,0.01,<3,0.009,0.0282,<0.0005,54.6,<0.002,<0.002,<0.001,0.011,0.007,4.88,0.0127,27,0.005,<0.004,4.32,<0.003,<0.04,<0.4,0.003,<0.03,<0.03,1.23,0.133,<0.004,<0.001,<0.006,0.007,0.077,<3,<0.008,0.0375,<0.0005,64.5,<0.002,<0.002,<0.001,<0.001,0.169,5.81,0.0148,32.3,0.078,<0.004,5.05,<0.003,<0.04,<0.4,0.004,<0.03,<0.03,0.94,0.158,0.004,<0.001,<0.006
Agassiz NWR- Tamarack Pool- Waterbody B,WS,2020-08-27,0.013,0.022,0.003,0.12,1.48,8.07,488.9,17.5,n/a,22.9,220.3,0.15,8.32,67.1,<0.01,0.01,<3,0.013,0.0155,<0.0005,47.2,<0.002,<0.002,<0.001,<0.001,0.0176,4.69,0.019,31.2,0.0525,<0.003,5.57,<0.004,0.07,<0.4,0.004,<0.03,<0.03,1.72,0.145,<0.004,<0.001,<0.007,0.0059,0.044,<3,0.013,0.0165,<0.0005,47.3,<0.002,<0.002,<0.001,<0.001,0.0826,4.82,0.0205,32.2,0.0755,<0.003,5.91,<0.004,0.08,<0.4,0.004,<0.03,<0.03,1.88,0.15,<0.004,<0.001,<0.007
Agassiz NWR- Tamarack Pool- Waterbody B,WS,2020-10-26,0.014,<0.014,0.002,0.2,1.61,8.08,645,3.07,10.15,25.7,302,0.17,7.48,91,<0.01,0.01,<3,<0.005,0.0163,<0.0005,68.1,<0.002,<0.003,<0.001,0.0009,0.0132,3.2,0.018,40.3,0.0733,<0.004,6,<0.003,<0.05,<0.4,0.002,<0.04,<0.05,3.04,0.188,<0.004,<0.001,<0.01,0.0062,0.037,<3,<0.005,0.0162,<0.0005,70.6,<0.002,<0.003,0.0012,<0.001,0.0524,3.38,0.0192,42.9,0.0809,<0.004,6.46,<0.003,<0.05,<0.4,0.003,<0.04,<0.05,2.42,0.197,<0.004,<0.001,<0.01
Agassiz NWR- Tamarack Pool- Waterbody B,WS,2021-06-25,0.013,<0.014,0.004,0.523,2.72,8,585,24.04,3.5,15,171,0.2,13.2,154.7,<0.01,0.023,<3,0.014,0.052,<0.0005,50,<0.002,<0.004,<0.002,<0.002,0.061,8.11,0.0308,46,0.058,0.006,8.9,<0.004,<0.03,<0.4,0.005,<0.04,<0.05,1.6,0.186,<0.02,<0.003,<0.01,0.008,0.031,<3,0.011,0.053,<0.0005,49,<0.002,<0.004,<0.002,<0.002,0.094,8.12,0.0303,46.2,0.068,0.006,8.8,<0.004,0.06,<0.4,0.005,<0.04,<0.05,1.6,0.187,<0.02,<0.003,<0.01
Agassiz NWR- Tamarack Pool- Waterbody B,OAQ,2020-10-26,<0.007,<0.014,<0.001,<0.035,<0.05,n/a,n/a,n/a,n/a,1,1.7,<0.05,0.17,<0.1,<0.01,<0.006,<3,<0.005,<0.0005,<0.0005,0.027,<0.002,<0.003,<0.001,<0.001,<0.001,<0.002,<0.0005,0.015,<0.001,<0.004,<0.02,<0.003,<0.05,<0.4,<0.002,<0.04,<0.05,<0.02,<0.0005,<0.004,<0.001,<0.01,<0.001,<0.06,<3,<0.05,0.00103,<0.0005,<0.05,<0.02,<0.03,<0.008,<0.006,<0.009,<0.02,<0.0005,<0.02,<0.001,<0.04,<0.2,<0.03,<0.5,<0.4,<0.02,<0.4,<0.5,<0.2,<0.0005,<0.04,<0.01,<0.1
Roseau River WMA- Dike Site- Waterbody D,WS,2021-04-08,<0.007,<0.014,<0.001,<0.035,0.98,7.96,383,7.26,10.75,15.7,250,0.09,3.04,8.6,<0.01,0.009,<3,<0.008,0.0282,<0.0005,45.9,<0.002,<0.002,<0.001,0.001,0.007,2.77,0.0084,22.8,0.005,<0.004,6,<0.003,<0.04,<0.4,0.002,<0.03,<0.03,0.85,0.13,<0.004,<0.001,<0.006,0.005,0.031,<3,<0.008,0.0337,<0.0005,45.7,<0.002,<0.002,<0.001,<0.001,0.043,2.84,0.0084,22.8,0.042,<0.004,5.99,<0.003,<0.04,<0.4,0.003,<0.03,<0.03,0.93,0.132,<0.004,<0.001,<0.006
Roseau River WMA- Dike Site- Waterbody D,OAQ,2021-04-08,<0.007,<0.014,<0.001,<0.035,<0.05,n/a,n/a,n/a,n/a,0.3,2.8,<0.05,<0.05,<0.1,<0.01,<0.004,<3,<0.008,<0.0005,<0.0005,<0.01,<0.002,<0.002,<0.001,<0.001,<0.001,<0.006,<0.0005,<0.003,<0.001,<0.004,<0.06,<0.003,<0.04,<0.4,<0.001,<0.03,<0.03,<0.02,<0.0005,<0.004,<0.001,<0.006,<0.002,<0.004,<3,<0.008,<0.0005,<0.0005,<0.01,<0.002,<0.002,<0.001,<0.001,<0.001,<0.006,<0.0005,<0.003,<0.001,<0.004,<0.06,<0.003,<0.04,<0.4,<0.001,<0.03,<0.03,<0.02,<0.0005,<0.004,<0.001,<0.006
Roseau River WMA- Dike Site- Waterbody D,WS,2020-08-26,0.022,0.025,<0.001,0.18,1.58,7.82,377.4,16.8,n/a,20.5,244.8,0.12,2.42,6.3,<0.01,0.006,4,0.018,0.0505,<0.0005,40.8,<0.002,<0.002,<0.001,<0.001,0.0346,1.7,0.012,23.7,0.075,<0.003,6.56,<0.004,<0.03,<0.4,0.002,<0.03,<0.03,6.26,0.14,<0.004,<0.001,<0.007,0.0049,0.037,4,0.018,0.053,<0.0005,40.7,<0.002,<0.002,<0.001,<0.001,0.13,1.74,0.012,23.4,0.122,<0.003,6.59,<0.004,0.03,<0.4,0.002,<0.03,<0.03,6.36,0.14,<0.004,<0.001,<0.007
Roseau River WMA- Dike Site- Waterbody D,WS,2020-10-27,0.021,0.017,0.004,0.11,1.6,8.43,475,2.06,14.75,24.1,301,0.18,3.62,13.3,<0.01,0.006,4,0.006,0.0311,<0.0005,52.9,<0.002,<0.003,0.001,<0.001,0.037,2.19,0.0116,30.8,0.0336,<0.004,8.42,<0.003,<0.05,<0.4,0.002,<0.04,<0.05,0.95,0.171,0.006,<0.001,<0.01,0.0066,0.105,4,0.007,0.0362,<0.0005,53.3,<0.002,<0.003,0.0015,0.001,0.253,2.19,0.0114,30.5,0.0675,0.004,8.48,<0.003,<0.05,0.7,0.002,<0.04,<0.05,1.24,0.17,<0.004,<0.001,<0.01
Roseau River WMA- Dike Site- Waterbody D,WS,2021-06-25,0.022,0.02,<0.001,0.059,1.46,9.65,195,20.7,8.93,15.7,191,0.26,5.19,12.4,<0.01,0.013,<3,0.005,0.032,<0.0005,25.3,<0.002,<0.004,<0.002,<0.002,0.017,1.29,0.016,24.6,0.015,<0.005,9.8,<0.004,<0.03,<0.4,<0.002,<0.04,<0.05,1.9,0.115,<0.02,<0.003,<0.01,0.007,0.05,4,0.006,0.035,<0.0005,23.3,<0.002,<0.004,<0.002,<0.002,0.076,1.18,0.0169,21.5,0.037,<0.005,10.2,<0.004,0.04,<0.4,<0.002,<0.04,<0.05,2,0.12,<0.02,<0.003,<0.01
Thief Lake WMA- River Site- Waterbody C,WS,2021-04-08,<0.007,<0.014,<0.001,<0.035,0.77,7.58,345,8.57,10.11,15.4,201,0.08,2.33,17.1,<0.01,0.005,<3,0.01,0.0312,<0.0005,51,<0.002,<0.002,<0.001,0.002,0.01,2.23,0.0051,14.7,0.05,<0.004,2.08,<0.003,<0.04,<0.4,0.003,<0.03,<0.03,2.83,0.0906,<0.004,<0.001,<0.006,0.005,0.032,<3,0.011,0.0336,<0.0005,52.7,<0.002,<0.002,<0.001,0.001,0.096,2.28,0.0051,15,0.081,<0.004,2.12,<0.003,<0.04,<0.4,0.004,<0.03,<0.03,2.88,0.0921,<0.004,<0.001,<0.006
Thief Lake WMA- River Site- Waterbody C,WS,2020-08-26,0.017,0.022,<0.001,<0.035,0.95,8.17,253.7,16.7,n/a,19.8,127.9,0.05,1.35,23.3,<0.01,0.005,<3,0.021,0.023,<0.0005,29.5,<0.002,<0.002,<0.001,<0.001,0.0066,1.06,0.005,14.4,0.0145,<0.003,1.77,<0.004,<0.03,<0.4,0.004,<0.03,<0.03,9.97,0.072,<0.004,<0.001,<0.007,0.0049,0.106,<3,0.021,0.0265,<0.0005,30.6,<0.002,<0.002,<0.001,<0.001,0.199,1.08,0.0055,14.9,0.094,<0.003,1.84,<0.004,0.03,<0.4,0.004,<0.03,<0.03,10.7,0.074,<0.004,<0.001,<0.007
Thief Lake WMA- River Site- Waterbody C,WS,2020-10-26,0.013,<0.014,<0.001,<0.035,1.08,8.27,342,2.66,13.71,21.6,185,0.12,2.61,27.2,<0.01,<0.006,<3,0.012,0.0267,<0.0005,45.2,<0.002,<0.003,<0.001,<0.001,0.0105,1.93,0.00606,17.2,0.0159,<0.004,2.36,<0.003,<0.05,<0.4,0.004,<0.04,<0.05,5.56,0.093,<0.004,<0.001,<0.01,0.0063,0.055,<3,0.013,0.0292,<0.0005,47.5,<0.002,<0.003,<0.001,0.0007,0.181,1.94,0.00606,17.9,0.0501,<0.004,2.38,<0.003,<0.05,<0.4,0.004,<0.04,<0.05,5.78,0.0937,<0.004,<0.001,<0.01
Thief Lake WMA- River Site- Waterbody C,WS,2021-06-25,0.008,<0.014,<0.001,0.177,1.98,9.09,299,21.36,9.08,12.7,162,0.14,1.57,36.4,<0.01,0.008,<3,0.02,0.02,<0.0005,35,<0.002,<0.004,<0.002,<0.002,0.006,2.2,0.0098,21.7,0.005,<0.005,3.3,<0.004,<0.03,<0.4,0.004,<0.04,<0.05,6.9,0.092,<0.02,<0.003,<0.01,0.006,0.014,<3,0.02,0.021,<0.0005,35.3,<0.002,<0.004,<0.002,<0.002,0.032,2.24,0.0098,21.7,0.034,<0.005,3.4,<0.004,<0.03,<0.4,0.004,<0.04,<0.05,6.8,0.091,<0.02,<0.003,<0.01
Thief Lake WMA- River Site- Waterbody C,OAQ,2021-06-25,<0.007,<0.014,<0.001,<0.035,<0.05,n/a,n/a,n/a,n/a,n/a,2.8,<0.05,<0.05,<0.1,<0.01,<0.004,<3,<0.004,<0.002,<0.0005,<0.30,<0.002,<0.004,<0.002,<0.002,<0.001,<0.01,<0.0005,<0.07,<0.002,<0.005,<0.2,<0.004,<0.03,<0.4,<0.002,<0.04,<0.05,<0.3,<0.003,<0.02,<0.003,<0.01,<0.002,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
